,warehouse_id,manager,location,capacity(in thousands)
144,3CTE867,Christopher Wilson,Ruizside,82
145,DGM-963,Angela Copeland,North Jenniferview,52
146,7GZV495,David Ortiz,Smithside,50
147,WPY-611,James Wyatt,East Meganchester,90
148,RTJ-368,Joshua Johnson,Joshuaton,76
149,VDG-6361,Whitney Harvey,Lynchbury,39
150,PIU-715,Marissa Ramirez,North Jennifer,63
151,JJE-438,Melissa Silva,Jakeside,86
152,GHA-5391,James Clark,Hansonburgh,50
153,FWA-5804,Mark Williams,East Nicholasmouth,34
154,RFY-390,Edward Braun,Mikemouth,45
155,WJP-3195,Alicia Ramos,Lake Nicholasview,44
156,4LYD729,Jesse Mitchell,New Richardside,100
157,IJS-391,Denise Reid,Jamesside,34
158,MGY-693,Ashley Wilson,North Brettshire,94
159,TEE-487,Shawn Richards,West David,55
160,RRX-637,Christian Arroyo,New James,61
161,2XBR561,Jennifer Cabrera,Johnsonborough,69
162,CGO-6691,Angela Rivers,North Michelle,72
163,GCY-2167,Kyle Caldwell,Randyport,57
164,4HSZ792,Terry Delgado,Coxbury,100
165,RKX-9153,Stephanie Nelson,Martinezside,60
166,KHY-179,David Sellers,South Aprilland,36
167,1GUA452,Nicholas Rosales,Port Kyle,39
168,PRZ-919,Victoria Allen,Stephensstad,79
169,4AAN627,Donna Flores,Dunlapstad,66
170,1NNW787,Kenneth Mcconnell,West Tiffany,58
171,7FMN574,Elizabeth Rhodes,North Joshua,38
172,PDU-6591,Emily Richards,Camerontown,52
173,1YAZ584,Robert Miller,South Phillipfurt,39
174,2NPC756,Jeremiah Lam,Friedmanhaven,47
175,FTD-0206,Mary Wolf,North Cassandrafurt,43
176,OOH-1296,Eric Brown,West Adamport,97
177,CVB-5537,Sheila Lewis,Lake Jeffreystad,97
178,HVL-893,Stephen Grimes,West Richardberg,59
179,1GBO838,Cheryl Hayes,East Laurie,36
180,XLS-3787,Lauren Ramirez,Murraymouth,64
181,5HTC115,Charles Lawson,Port Daniel,97
182,QQS-2575,Andrew Santiago,North Brenda,60
183,1BSI193,Alicia Daniel,Lake Nathanmouth,99
184,XKP-4117,Sarah Woods,Littleport,96
185,FZN-6913,Richard Hernandez,Matthewborough,48
186,SJZ-0959,George Morris,Cherylport,40
187,WIO-5751,Deborah Parrish,Robertburgh,31
188,3RAV384,Patricia Perez,Woodshire,100
189,QFV-396,Victor Russell,West Andrew,59
190,WEA-3178,Melissa Brown,Danielburgh,77
191,DLS-552,James Ray,Deanville,95
192,1OPH654,Clayton Rodriguez,Longbury,36
193,NOT-3643,Joel Johnson,West Jenniferchester,84
194,5JWJ872,Kenneth Hall,North Diana,35
195,4DOX688,Kimberly Alvarado,West Chrisborough,82
196,5VGL925,Stephanie Johnson,Barbarachester,97
197,STK-5157,Kayla Hardin,Walshstad,45
198,1TAH763,Tiffany Thomas,East Kathleenmouth,84
199,HFY-783,Cynthia Johnson,Davisbury,35
